Coin,Target,Model,R2,MSE,MAE,Mean,Std,Var
Ethereum,percentChange90d,SVM,0.8107,1.1580,0.7079,-5.7996,1.9712,3.8855
Ethereum,percentChange90d,DecisionTree,0.9280,0.4406,0.5192,-5.8285,2.4353,5.9308
Ethereum,percentChange90d,RandomForest,0.9362,0.3904,0.4556,-5.8026,2.3996,5.7581
Polkadot,price,LinearRegression,0.7494,0.0067,0.0639,4.8535,0.1393,0.0194
Polkadot,price,KNN,0.8931,0.0028,0.0391,4.8700,0.1528,0.0233
Polkadot,price,SVM,0.8298,0.0045,0.0582,4.8508,0.1330,0.0177
Polkadot,price,DecisionTree,0.8894,0.0029,0.0405,4.8556,0.1555,0.0242
Polkadot,price,RandomForest,0.8964,0.0028,0.0385,4.8557,0.1556,0.0242
Polkadot,volumeChange24h,LinearRegression,0.3871,219.7944,12.7218,-9.1683,12.1284,147.0969
Polkadot,volumeChange24h,KNN,0.9434,20.2960,2.7710,-9.7623,18.7078,349.9827
Polkadot,volumeChange24h,SVM,0.6381,129.7865,7.0213,-13.9657,10.2007,104.0542
Polkadot,volumeChange24h,DecisionTree,0.9030,34.7825,3.4617,-9.9150,18.5647,344.6481
Polkadot,volumeChange24h,RandomForest,0.9096,32.4146,2.9993,-10.3121,18.6441,347.6028
Polkadot,percentChange1h,LinearRegression,0.1751,0.7106,0.6553,-0.1417,0.3997,0.1598
Polkadot,percentChange1h,KNN,0.3295,0.5776,0.5969,-0.0359,0.7590,0.5760
Polkadot,percentChange1h,SVM,0.2371,0.6572,0.5951,-0.0875,0.4897,0.2398
Polkadot,percentChange1h,DecisionTree,0.3053,0.5984,0.5986,-0.1236,0.5296,0.2805
Polkadot,percentChange1h,RandomForest,0.3864,0.5286,0.5507,-0.1392,0.5796,0.3359
Polkadot,percentChange24h,LinearRegression,0.5364,5.9169,2.0055,-1.8750,2.3377,5.4648
Polkadot,percentChange24h,KNN,0.8659,1.7121,1.0124,-1.6808,3.3153,10.9911
Polkadot,percentChange24h,SVM,0.7935,2.6348,1.1741,-2.0588,2.6310,6.9220
Polkadot,percentChange24h,DecisionTree,0.8480,1.9394,1.0607,-1.9103,3.2012,10.2476
Polkadot,percentChange24h,RandomForest,0.8789,1.5461,0.9384,-1.8481,3.2507,10.5671
Polkadot,percentChange7d,LinearRegression,0.9276,14.8966,2.8837,9.2651,14.0063,196.1757
Polkadot,percentChange7d,KNN,0.9838,3.3306,1.3405,9.3629,14.3837,206.8901
Polkadot,percentChange7d,SVM,0.9613,7.9543,1.9013,8.6464,13.8328,191.3477
Polkadot,percentChange7d,DecisionTree,0.9835,3.3907,1.3778,9.1968,14.5253,210.9830
Polkadot,percentChange7d,RandomForest,0.9848,3.1280,1.3140,9.2201,14.4632,209.1833
Polkadot,percentChange30d,LinearRegression,0.6673,5.8750,2.0108,32.5308,3.4772,12.0907
Polkadot,percentChange30d,KNN,0.8663,2.3606,1.1918,33.2062,3.9697,15.7583
Polkadot,percentChange30d,SVM,0.7966,3.5905,1.4578,32.6647,4.0850,16.6875
Polkadot,percentChange30d,DecisionTree,0.8804,2.1113,1.1395,32.7070,4.0879,16.7106
Polkadot,percentChange30d,RandomForest,0.8826,2.0726,1.1279,32.7457,4.1015,16.8225
Polkadot,percentChange60d,LinearRegression,0.9320,2.8318,1.2951,12.5250,6.3216,39.9628
Polkadot,percentChange60d,KNN,0.9458,2.2578,1.0936,12.8675,6.0877,37.0603
Polkadot,percentChange60d,SVM,0.9263,3.0689,1.2130,12.4083,6.1774,38.1605
Polkadot,percentChange60d,DecisionTree,0.9475,2.1880,1.0684,12.5795,6.3296,40.0639
Polkadot,percentChange60d,RandomForest,0.9477,2.1773,1.0647,12.5886,6.2960,39.6391
Polkadot,percentChange90d,LinearRegression,0.4940,5.3274,1.8214,-3.7918,2.2138,4.9010
Polkadot,percentChange90d,KNN,0.8798,1.2658,0.8527,-3.7987,3.0311,9.1874
Polkadot,percentChange90d,SVM,0.8046,2.0576,1.0457,-3.9984,2.6349,6.9425
Polkadot,percentChange90d,DecisionTree,0.8923,1.1341,0.7925,-3.9253,3.0218,9.1314
Polkadot,percentChange90d,RandomForest,0.8956,1.0988,0.7916,-3.9262,3.0006,9.0035
TRON,price,LinearRegression,0.2225,0.0000,0.0021,0.2710,0.0018,0.0000
TRON,price,KNN,0.2088,0.0000,0.0019,0.2712,0.0029,0.0000
TRON,price,SVM,-0.1346,0.0000,0.0026,0.2699,0.0000,0.0000
TRON,price,DecisionTree,0.3569,0.0000,0.0019,0.2709,0.0020,0.0000
TRON,price,RandomForest,0.3684,0.0000,0.0019,0.2709,0.0019,0.0000
TRON,volumeChange24h,LinearRegression,0.8306,239.9488,12.9155,-2.7060,30.5521,933.4334
TRON,volumeChange24h,KNN,0.9825,24.8049,3.2198,-3.9938,38.4140,1475.6384
TRON,volumeChange24h,SVM,0.5677,612.3901,14.9007,-9.8514,14.7250,216.8253
TRON,volumeChange24h,DecisionTree,0.9851,21.1241,3.2690,-4.4805,37.3967,1398.5145
TRON,volumeChange24h,RandomForest,0.9851,21.1363,3.2351,-4.5595,37.3971,1398.5467
TRON,percentChange1h,LinearRegression,0.1680,0.2006,0.3400,-0.1360,0.2268,0.0514
TRON,percentChange1h,KNN,-0.1852,0.2857,0.4314,-0.1402,0.4239,0.1797
TRON,percentChange1h,SVM,0.1710,0.1999,0.3301,-0.1209,0.2273,0.0517
TRON,percentChange1h,DecisionTree,0.2361,0.1842,0.3258,-0.1431,0.2551,0.0651
TRON,percentChange1h,RandomForest,0.2356,0.1843,0.3303,-0.1447,0.2575,0.0663
TRON,percentChange24h,LinearRegression,0.0652,2.8131,1.4396,-0.1094,0.5581,0.3115
TRON,percentChange24h,KNN,0.5096,1.4758,0.8905,-0.0944,1.3135,1.7254
TRON,percentChange24h,SVM,0.3388,1.9897,1.0697,-0.3562,0.9403,0.8842
TRON,percentChange24h,DecisionTree,0.6164,1.1545,0.8311,-0.2804,1.3248,1.7550
TRON,percentChange24h,RandomForest,0.6169,1.1529,0.8326,-0.2788,1.3295,1.7675
TRON,percentChange7d,LinearRegression,0.7952,2.2975,1.2830,6.4553,3.1560,9.9606
TRON,percentChange7d,KNN,0.8919,1.2133,0.8158,6.5087,3.2411,10.5046
TRON,percentChange7d,SVM,0.8765,1.3851,0.9246,6.2031,3.1622,9.9993
TRON,percentChange7d,DecisionTree,0.9066,1.0478,0.7760,6.3323,3.2862,10.7994
TRON,percentChange7d,RandomForest,0.9080,1.0327,0.7609,6.3376,3.2859,10.7970
TRON,percentChange30d,LinearRegression,0.7451,0.7597,0.6925,8.9767,1.3776,1.8979
TRON,percentChange30d,KNN,0.7182,0.8401,0.6282,9.0476,1.6793,2.8201
TRON,percentChange30d,SVM,0.7570,0.7244,0.6559,8.9536,1.3529,1.8303
TRON,percentChange30d,DecisionTree,0.7878,0.6326,0.5836,8.9441,1.4464,2.0921
TRON,percentChange30d,RandomForest,0.7905,0.6246,0.5809,8.9428,1.4630,2.1404
TRON,percentChange60d,LinearRegression,0.3832,8.8204,2.3420,21.7237,2.8393,8.0617
TRON,percentChange60d,KNN,0.8246,2.5080,1.0755,22.0096,3.9747,15.7985
TRON,percentChange60d,SVM,0.6203,5.4300,1.4378,21.1583,2.7641,7.6401
TRON,percentChange60d,DecisionTree,0.8603,1.9972,1.0541,21.7146,3.6098,13.0307
TRON,percentChange60d,RandomForest,0.8618,1.9760,1.0445,21.7048,3.6007,12.9649
TRON,percentChange90d,LinearRegression,0.5110,3.6181,1.5763,13.9697,1.9948,3.9794
TRON,percentChange90d,KNN,0.8660,0.9917,0.7329,14.1050,2.7857,7.7598
TRON,percentChange90d,SVM,0.8112,1.3967,0.8874,13.7505,2.1944,4.8152
TRON,percentChange90d,DecisionTree,0.8930,0.7920,0.7130,13.9734,2.5256,6.3786
TRON,percentChange90d,RandomForest,0.8926,0.7951,0.7149,13.9629,2.5287,6.3942
Stellar,price,LinearRegression,0.7692,0.0000,0.0034,0.2983,0.0074,0.0001
Stellar,price,KNN,0.8189,0.0000,0.0027,0.2991,0.0084,0.0001
Stellar,price,SVM,-0.0169,0.0001,0.0073,0.2996,0.0000,0.0000
Stellar,price,DecisionTree,0.8619,0.0000,0.0025,0.2981,0.0081,0.0001
Stellar,price,RandomForest,0.8619,0.0000,0.0025,0.2981,0.0081,0.0001
Stellar,volumeChange24h,LinearRegression,0.7120,709.9461,17.5752,-8.7925,39.0540,1525.2178
Stellar,volumeChange24h,KNN,0.5733,1052.0848,13.0596,-14.5181,44.2172,1955.1603
Stellar,volumeChange24h,SVM,0.2380,1878.5558,24.3713,-21.5814,11.2137,125.7480
Stellar,volumeChange24h,DecisionTree,0.7988,496.1349,12.8904,-7.1125,45.1973,2042.7992
Stellar,volumeChange24h,RandomForest,0.7987,496.2042,12.9162,-7.1005,45.1273,2036.4748
Stellar,percentChange1h,LinearRegression,0.0799,0.6085,0.6208,-0.1169,0.1734,0.0301
Stellar,percentChange1h,KNN,0.0502,0.6282,0.6178,-0.2803,0.3136,0.0983
Stellar,percentChange1h,SVM,0.1316,0.5743,0.5872,-0.0465,0.3094,0.0957
Stellar,percentChange1h,DecisionTree,0.2324,0.5077,0.5443,-0.1200,0.3719,0.1383
Stellar,percentChange1h,RandomForest,0.2335,0.5069,0.5428,-0.1182,0.3710,0.1376
Stellar,percentChange24h,LinearRegression,0.4371,3.3334,1.4157,-1.3438,1.3224,1.7487
Stellar,percentChange24h,KNN,0.7001,1.7758,1.0488,-0.8782,2.1543,4.6408
Stellar,percentChange24h,SVM,0.6660,1.9779,1.0828,-1.4578,1.4975,2.2424
Stellar,percentChange24h,DecisionTree,0.7546,1.4533,0.9094,-1.4369,2.0109,4.0437
Stellar,percentChange24h,RandomForest,0.7544,1.4541,0.9102,-1.4356,2.0127,4.0508
